Tag,count
[' Leisure trip ',415869
' Submitted from a mobile device '],306894
' Couple ',245993
' Stayed 1 night ',117175
' Solo traveler ',103766
[' Business trip ',82245
' Stayed 2 nights ',79656
' Stayed 1 night '],75970
' Group ',63588
' Family with young children ',58632
' Stayed 3 nights ',56458
' Stayed 2 nights '],53945
' Stayed 3 nights '],39073
' Double Room ',35091
' Standard Double Room ',32175
' Superior Double Room ',31316
' Stayed 4 nights ',27681
' Family with older children ',25376
' Deluxe Double Room ',24765
' Double or Twin Room ',22319
' Stayed 4 nights '],20004
' Standard Double or Twin Room ',17427
' Classic Double Room ',16941
' Superior Double or Twin Room ',13528
' 2 rooms ',12357
' Stayed 5 nights ',11890
' Standard Twin Room ',9717
' Single Room ',9628
' Stayed 5 nights '],8900
' Twin Room ',8304
' Executive Double Room ',6411
' Classic Double or Twin Room ',6088
' Superior Twin Room ',6053
' Deluxe Double or Twin Room ',5980
' Club Double Room ',5899
[' Couple ',5782
' Stayed 6 nights ',5679
' Queen Room ',5462
' Deluxe King Room ',5345
' Superior Queen Room ',4890
' Standard Single Room ',4600
' Junior Suite ',4549
' Triple Room ',4488
' Superior Room ',4407
' Classic Room ',4400
' Stayed 7 nights ',4345
[' Solo traveler ',4268
' Superior King Room ',4238
' Standard Room ',4184
' Stayed 6 nights '],4071
' Deluxe Room ',3955
' Standard Queen Room ',3524
' Double Guest Room ',3431
' Deluxe Single Room ',3277
' Small Double Room ',3177
' Queen Guest Room ',3120
' Deluxe Twin Room ',3079
' Stayed 7 nights '],3029
' Basic Double Room ',2847
' King Room ',2835
' Comfort Double Room ',2631
' Executive King Room ',2624
' Small Queen Room ',2499
' Standard Double Room without Window ',2421
' Comfort Double or Twin Room ',2391
' Double or Twin Room 1 2 Adults ',2387
' Classic Twin Room ',2353
[' Family with young children ',2222
' Twin Guest Room ',2194
' Family Room ',2162
' Travelers with friends ',2078
' Suite ',1893
' Superior King or Twin Room ',1825
' Deluxe King or Twin Room ',1648
' Deluxe Double ',1629
' King Guest Room ',1625
' Cosy Double Room ',1598
[' Group ',1588
' Stayed 8 nights ',1503
' Standard Double Twin Room ',1418
[' With a pet ',1400
' Club Twin Room ',1395
' Executive Double or Twin Room ',1391
' Classic King Room ',1311
' Standard Triple Room ',1297
' Double Hilton Guestroom ',1293
' Executive Room ',1288
' Double Room Non Smoking ',1256
' Standard ',1225
' Large Double Room ',1190
' Economy Double Room ',1187
' Quadruple Room ',1154
' Luxury Double Room ',1147
' Superior Single Room ',1118
' Superior Double Room with Internal View ',1112
' Leisure trip ',1102
' Classic Single Room ',1088
' Double Room with Two Double Beds ',1083
' Executive Twin Room ',1077
' Dorsett Double Room ',1041
' Stayed 8 nights '],995
' Premier Double Room ',994
' Studio ',985
' Superior Double or Twin Room 1 2 Adults ',969
' Twin Hilton Guest Room ',947
[' Family with older children ',930
' Family Room 2 Adults 2 Children ',925
' Studio King Family ',925
' Compact Double Room ',910
' City King or Twin Room ',896
' Standard Room with 1 Double Bed ',878
' Stayed 9 nights ',806
' Classic Queen Room ',791
' Deluxe Queen Room ',748
' Deluxe Triple Room ',745
' Comfort Room ',740
' City King Room ',738
' Queen or Two Double Beds Room ',738
' Studio Suite ',727
' Standard Double ',722
' Premium Double or Twin Room ',710
' Superior Triple Room ',706
' Queen Room Non Smoking ',703
' Twin Room Non Smoking ',698
' Superior Twin Room with Internal View ',696
' One Bedroom Suite ',658
' Double Room with View ',649
' King Hilton Guest Room ',645
' Double Room 1 Adult ',621
' Art King Room ',608
' Deluxe Room Barlow Wing ',605
' Standard King Room ',599
' Double Room with Courtyard View ',591
' Premium Double Room ',591
' Executive King Room with Lounge Access ',583
' Stayed 10 nights ',551
' Deluxe King Room with River View ',539
' Double or Twin Room Non Smoking ',539
' Queen Room Mobility Access ',515
' Double Room 1 2 Adults ',507
' Studio Double Family ',505
' City Twin Room ',499
' Stayed 9 nights '],486
' Double Room with Sofa Bed ',483
' Cosy Single Room ',474
' 3 rooms ',470
' Standard Double Room No Window ',470
' Business Double or Twin Room ',427
' Room Selected at Check In ',417
' Superior Shard King ',402
' Deluxe King Room Balcony with Eiffel Tower View ',398
' Superior Double Room Disability Access ',398
' Deluxe with Two Double Beds ',391
' Comfort Triple Room ',388
' Double Deluxe Room ',387
' Superior Room with 2 Single Beds ',385
' Club Single Room ',384
' Double Room with Spa Bath ',384
' Double or Twin Ground Floor ',381
' Double or Twin Room with Spa Access ',378
' Deluxe King Room with City View ',375
' Deluxe King Room with Stadium View ',367
' Standard Double Room with Bridge View ',360
' One Bedroom Apartment ',358
' Double Room with Terrace ',356
' Deluxe One Bedroom Apartment ',347
' Standard Room with 1 Single Bed ',346
' Double Room with Single Bed ',339
' Queen Room with Mobility Access ',338
' Stayed 10 nights '],338
' Deluxe Double Room with Two Double Beds ',338
' Double Room with City View ',337
' Basic Single Room ',326
' Large Twin Room ',318
' Small Single Room ',312
' Duplex Double Room ',311
' Standard Room with Spa access ',309
' Luxury Room ',307
' Executive Family Room ',304
' Deluxe Double Room 1 2 Adults ',304
' Deluxe Double or Twin Room with Canal View ',303
' Luxury Suite ',302
' Standard Room with 2 Single Beds ',302
' Double Room with Sofa Bed Non Smoking ',299
' Superior Double or Twin Room with View ',296
' Standard Room with Queen Bed ',291
' Superior Double Room with City View ',289
' Special Offer Double Room ',286
' Superior Double Twin Room ',286
' Standard Room 1 2 adults ',286
' Comfort Twin Double Room ',285
' Double Room with Balcony ',285
' Queen Hilton Guest Room ',283
' Wonderful Double or Twin Room ',280
' Superior Deluxe Room ',275
' Executive Double Room River View ',271
' Superior Double Room with Terrace ',271
' Deluxe Double and Single Room ',270
