Reviewer_Nationality,avg(Reviewer_Score)
Montenegro,7.968229166666667
Gibraltar,8.229736842105263
Czech Republic,8.282877009995655
Guyana,8.92
New Zealand,8.654374034003087
Austria,8.31015397419892
Bulgaria,8.4144061302682
Argentina,8.420000000000002
United States of America,8.786812535290695
Azerbaijan,7.896389891696751
Fiji,8.041666666666666
Spain,8.167286559594263
Zambia,8.208108108108108
Australia,8.590749630723721
Ecuador,8.61967213114754
Yemen,8.1125
Suriname,7.4
Turkey,7.998357327427108
Guernsey,8.39668508287293
Bosnia and Herzegovina,8.351851851851851
Ghana,8.182758620689654
Vanuatu,9.075
U S Virgin Islands,8.194117647058825
United Kingdom,8.485922912450127
Rwanda,8.215384615384616
Liechtenstein,8.89
Kuwait,8.00714867617109
Comoros,10.0
Mauritius,7.92638888888889
Kosovo,7.9281690140845065
Senegal,7.875
St Pierre and Miquelon,8.95
Luxembourg,8.198375184638104
Pakistan,7.809279475982532
Sudan,7.974509803921567
Madagascar,8.1875
Latvia,8.255882352941178
Brunei,8.450000000000001
Libya,7.598611111111111
Malawi,8.35
Canada,8.54789607097594
Tunisia,7.894736842105263
Bermuda,8.602912621359222
Bahamas,8.584375000000001
Andorra,8.057812499999999
Cyprus,8.29345454545454
Iran,7.728228782287817
Honduras,8.781818181818181
Indonesia,8.256116504854363
Armenia,8.111940298507463
Sweden,8.160458879618595
Sri Lanka,8.08169014084507
Kazakhstan,7.8829181494661915
Jamaica,8.358536585365856
Bhutan,8.9
Serbia,8.271760500446822
France,8.14402360367781
Cambodia,8.108823529411765
Ireland,8.463690958164646
Morocco,8.040174672489082
Vietnam,8.083957219251337
Antigua Barbuda,8.05
Malaysia,8.16144834930777
Lebanon,7.9893664155959225
Guatemala,8.48076923076923
Egypt,8.09744234800838
Bahrain,7.930986800754237
Russia,8.273089786467722
Seychelles,7.6
Italy,8.111300639658857
Bangladesh,7.60794701986755
Democratic Republic of the Congo,8.522222222222224
Trinidad and Tobago,8.677922077922076
Martinique,7.660000000000001
Iraq,7.980000000000002
Philippines,8.429384328358209
Hungary,8.488281611857342
Greece,8.155388249188073
Uganda,8.138297872340425
Sierra Leone,7.5
Mongolia,7.251282051282051
United Arab Emirates,7.876221721672718
Albania,8.24421052631579
Iceland,8.457974137931032
United States Minor Outlying Islands,8.194594594594596
Peru,8.35948275862069
Macedonia,8.246762589928059
Belize,8.2875
Papua New Guinea,7.85
Thailand,8.195286555972142
Costa Rica,8.529166666666667
New Caledonia,8.59
Germany,8.126777131292707
East Timor,8.75
Faroe Islands,7.98125
Togo,8.442857142857141
India,7.881810244470315
Hong Kong,8.029505476269499
Qatar,7.890773701416636
El Salvador,8.691666666666668
Portugal,8.040185387131945
Antarctica,8.766666666666667
Panama,8.791735537190084
Chile,8.2990990990991
Slovenia,8.25916030534351
Crimea,10.0
Cayman Islands,8.552380952380952
South Korea,8.37020484171322
Brazil,8.431307154384072
Barbados,8.49672131147541
Nepal,6.84
Maldives,7.940816326530613
Saint Kitts and Nevis,8.588888888888889
Botswana,8.204761904761904
Dominican Republic,8.353846153846153
Guam,8.707142857142857
Switzerland,8.156800832755051
Nigeria,8.18126919140225
St Maarten,8.345454545454546
Paraguay,8.325
Puerto Rico,8.80388888888889
Japan,8.303834115805943
Zimbabwe,7.905882352941175
Oman,7.850788880540945
Ethiopia,8.193548387096776
Estonia,8.373537234042553
Turks Caicos Islands,7.957142857142856
Slovakia,8.351999999999995
Mexico,8.55608108108108
Finland,8.285792649478877
Mozambique,7.871428571428571
Aruba,8.42258064516129
China,8.44082474226804
Tanzania,7.824561403508772
Poland,8.22884415133634
Netherlands,8.119449856733546
Venezuela,8.643589743589743
Jordan,7.806746031746033
Belgium,8.167898767898786
Norway,8.145321023919424
Denmark,8.071005229517718
Uruguay,8.52087912087912
Uzbekistan,7.82
Colombia,8.539926739926742
Cura ao,8.5725
Gabon,7.085714285714286
Nicaragua,8.733333333333333
Ukraine,8.369660861594863
British Virgin Islands,8.3875
Myanmar,8.127777777777778
Jersey,8.30811123986095
Croatia,8.303315749811603
Namibia,8.376119402985076
Kenya,8.076579925650558
Moldova,8.14018691588785
Israel,8.692770536526236
Singapore,8.14114026563006
Romania,8.179679144385041
Montserrat,5.4
Saudi Arabia,7.879733661593575
Belarus,8.188481675392671
Palestinian Territory,7.974074074074074
Malta,8.474435196195001
Burundi,9.200000000000001
Isle of Man,8.402962962962963
Georgia,8.276870748299322
Abkhazia Georgia,8.357236842105262
Taiwan,8.382773564463706
Algeria,7.762626262626263
Lithuania,8.334349030470914
Macau,7.939449541284405
Ivory Coast,8.26842105263158
Angola,8.090322580645163
Monaco,8.0656
Equatorial Guinea,10.0
Benin,9.166666666666666
South Africa,8.36163126147391
Syria,7.521212121212121
Saint Martin,9.275
Laos,8.066666666666666
Gambia,9.26
Tajikistan,9.35625
Bolivia,8.716666666666665
Central Africa Republic,9.299999999999999
Guadeloupe,7.68
Swaziland,8.5
Cameroon,8.133333333333333
Haiti,7.925000000000001
Afghanistan,6.875
Dominica,8.349999999999998
French Guiana,8.75
Saint Lucia,8.200000000000001
Mauritania,7.9375
Niger,9.15
Mali,6.44
Falkland Islands Malvinas,8.7
Liberia,8.200000000000001
Reunion,8.266666666666667
Kyrgyzstan,8.995238095238093
Svalbard Jan Mayen,10.0
Samoa,8.55
Wallis and Futuna,7.3
Lesotho,7.233333333333333
Grenada,7.8
French Polynesia,7.766666666666666
Djibouti,7.9
Cook Islands,7.3
Saint Barts,9.033333333333333
Kiribati,7.5
Congo,9.166666666666666
Saint Vincent Grenadines,8.35
Eritrea,8.35
Somalia,8.766666666666666
Turkmenistan,7.360000000000001
San Marino,8.9
South Sudan,9.2
Cape Verde,9.6
Cocos K I,8.95
Anguilla,7.5
Bonaire St Eustatius and Saba,9.066666666666666
Vatican City,7.9
Northern Mariana Islands,5.8
Tuvalu,7.1
Guinea,7.5
American Samoa,5.65
Palau,8.3
