Reviewer_Nationality,count
Montenegro,192
Gibraltar,380
Czech Republic,2301
Guyana,5
New Zealand,3235
Austria,2403
Bulgaria,1305
Argentina,515
United States of America,35420
Azerbaijan,277
Fiji,12
Spain,4732
Zambia,37
Australia,21664
Ecuador,61
Yemen,16
Suriname,11
Turkey,5418
Guernsey,543
Bosnia and Herzegovina,243
Ghana,145
Vanuatu,8
U S Virgin Islands,17
United Kingdom,245072
Rwanda,13
Liechtenstein,20
Kuwait,4910
Comoros,1
Mauritius,216
Kosovo,71
Senegal,24
St Pierre and Miquelon,2
Luxembourg,1354
Pakistan,916
Sudan,51
Madagascar,8
Latvia,714
Brunei,100
Libya,72
Malawi,10
Canada,7890
Tunisia,76
Bermuda,103
Bahamas,32
Andorra,64
Cyprus,1375
Iran,1084
Honduras,22
Indonesia,1545
Armenia,134
Sweden,3356
Sri Lanka,284
Kazakhstan,281
Jamaica,41
Bhutan,6
Serbia,1119
France,7287
Cambodia,34
Ireland,14820
Morocco,229
Vietnam,187
Antigua Barbuda,14
Malaysia,1878
Lebanon,2257
Guatemala,52
Egypt,2385
Bahrain,1591
Russia,3887
Seychelles,21
Italy,6097
Bangladesh,151
Democratic Republic of the Congo,9
Trinidad and Tobago,154
Martinique,5
Iraq,285
Philippines,1072
Hungary,2159
Greece,3387
Uganda,47
Sierra Leone,6
Mongolia,39
United Arab Emirates,10211
Albania,285
Iceland,928
United States Minor Outlying Islands,74
Peru,116
Macedonia,278
Belize,8
Papua New Guinea,14
Thailand,1867
Costa Rica,120
New Caledonia,10
Germany,7906
East Timor,4
Faroe Islands,16
Togo,7
India,3436
Hong Kong,3013
Qatar,2753
El Salvador,24
Portugal,1834
Antarctica,3
Panama,121
Chile,333
Slovenia,786
Crimea,6
Cayman Islands,42
South Korea,1074
Brazil,1859
Barbados,61
Nepal,15
Maldives,49
Saint Kitts and Nevis,9
Botswana,42
Dominican Republic,52
Guam,14
Switzerland,8646
Nigeria,977
St Maarten,11
Paraguay,28
Puerto Rico,180
Japan,1278
Zimbabwe,51
Oman,1331
Ethiopia,31
Estonia,752
Turks Caicos Islands,14
Slovakia,900
Mexico,592
Finland,1823
Mozambique,35
Aruba,31
China,3395
Tanzania,57
Poland,2881
Netherlands,8725
Venezuela,78
Jordan,756
Belgium,6006
Norway,2383
Denmark,1721
Uruguay,91
Uzbekistan,20
Colombia,273
Cura ao,40
Gabon,7
Nicaragua,15
Ukraine,1091
British Virgin Islands,16
Myanmar,18
Jersey,863
Croatia,1327
Namibia,67
Kenya,269
Moldova,107
Israel,6598
Singapore,3087
Romania,4488
Montserrat,2
Saudi Arabia,8936
Belarus,191
Palestinian Territory,54
Malta,1682
Burundi,3
Isle of Man,405
Georgia,294
Abkhazia Georgia,152
Taiwan,923
Algeria,99
Lithuania,722
Macau,109
Ivory Coast,19
Angola,62
Monaco,250
Equatorial Guinea,2
Benin,6
South Africa,3813
Syria,33
Saint Martin,4
Laos,9
Gambia,5
Tajikistan,16
Bolivia,18
Central Africa Republic,3
Guadeloupe,5
Swaziland,8
Cameroon,9
Haiti,4
Afghanistan,8
Dominica,10
French Guiana,4
Saint Lucia,8
Mauritania,8
Niger,2
Mali,5
Falkland Islands Malvinas,6
Liberia,3
Reunion,6
Kyrgyzstan,21
Svalbard Jan Mayen,1
Samoa,4
Wallis and Futuna,2
Lesotho,3
Grenada,3
French Polynesia,3
Djibouti,2
Cook Islands,2
Saint Barts,3
Kiribati,2
Congo,3
Saint Vincent Grenadines,2
Eritrea,2
Somalia,3
Turkmenistan,5
San Marino,3
South Sudan,2
Cape Verde,1
Cocos K I,2
Anguilla,1
Bonaire St Eustatius and Saba,3
Vatican City,1
Northern Mariana Islands,1
Tuvalu,1
Guinea,1
American Samoa,2
Palau,1
