Hotel_Name,lat,lng
Mercure Paris Gare Montparnasse,,
Hotel Best Western PLUS Alfa Aeropuerto,41.3283758,2.1129638
W Barcelona,41.368437,2.1901534
Hotel Miramar Barcelona GL,41.3703041,2.17141
Eurostars Grand Marina Hotel GL,41.371308,2.181698
Crowne Plaza Barcelona Fira Center,41.3725246,2.1540788
Hotel Grums Barcelona,41.3727844,2.1721134
Ayre Hotel Gran V a,41.3732462,2.1474351
Tryp Barcelona Apolo Hotel,41.3747031,2.1707106
Silken Concordia,41.3747873,2.1611846
Catalonia Barcelona Plaza,41.3750293,2.1491172
Hotel Barcelona Universal,41.375237,2.1684058
Hotel Garbi Millenni,41.3759896,2.167148
Hotel Vilamar,41.3766732,2.1524478
Pestana Arena Barcelona,41.376801,2.1460443
AC Hotel Sants a Marriott Lifestyle Hotel,41.3775577,2.1384686
Senator Barcelona Spa Hotel,41.3777977,2.1135971
Onix Liceo,41.3780229,2.1730782
Eurostars Ramblas,41.3780983,2.1762005
Medinaceli,41.3781685,2.1786627
Catalonia Port,41.378751,2.17873
Barcel Raval,41.3790126,2.1696339
TWO Hotel Barcelona by Axel 4 Sup Adults Only,41.37913,2.1561186
Expo Hotel Barcelona,41.3792053,2.1427989
Gran Hotel Torre Catalunya,41.3795572,2.1425457
Duquesa de Cardona,41.3798658,2.1805271
Barcel Sants,41.3798964,2.1412433
Hotel Espa a Ramblas,41.3799209,2.1728181
Hotel DO Pla a Reial G L,41.3799929,2.1748256
Hotel The Serras,41.3801815,2.180688
Hotel Villa Emilia,41.3802469,2.1541149
Aparthotel Arai 4 Superior,41.3807517,2.1772425
The Wittmore Adults Only,41.380939,2.1796095
H10 Itaca,41.3810311,2.1455516
Duquesa Suites Barcelona,41.3810421,2.1814294
Petit Palace Boqueria Garden,41.3812223,2.1739622
NH Barcelona Stadium,41.3812574,2.1269078
Hotel Abbot,41.3815028,2.1449138
H10 Port Vell 4 Sup,41.3815625,2.1838458
Barcelona Hotel Colonial,41.3822909,2.1807447
Abba Sants,41.3825777,2.1400103
Mercer Hotel Barcelona,41.3827,2.1791999
Hotel Bagu s,41.3827894,2.1715636
Silken Ramblas,41.3830117,2.1700699
